matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
327,33,2019-04-05 19:00:00Z,St. Mary's Stadium,Southampton,Liverpool,,1,3
321,33,2019-04-06 14:00:00Z,Vitality Stadium,Bournemouth,Burnley,,1,3
324,33,2019-04-06 14:00:00Z,John Smith's Stadium,Huddersfield,Leicester,,1,4
326,33,2019-04-06 14:00:00Z,St. James' Park,Newcastle,Crystal Palace,,0,1
323,33,2019-04-07 13:05:00Z,Goodison Park,Everton,Arsenal,,1,0
322,33,2019-04-08 19:00:00Z,Stamford Bridge,Chelsea,West Ham,,2,0
335,34,2019-04-12 19:00:00Z,King Power Stadium,Leicester,Newcastle,,0,1
339,34,2019-04-13 11:30:00Z,Tottenham Hotspur Stadium,Spurs,Huddersfield,,4,0
331,34,2019-04-13 14:00:00Z,Amex Stadium,Brighton,Bournemouth,,0,5
332,34,2019-04-13 14:00:00Z,Turf Moor,Burnley,Cardiff,,2,0
334,34,2019-04-13 14:00:00Z,Craven Cottage,Fulham,Everton,,2,0
338,34,2019-04-13 14:00:00Z,St. Mary's Stadium,Southampton,Wolves,,3,1
337,34,2019-04-13 16:30:00Z,Old Trafford,Man Utd,West Ham,,2,1
333,34,2019-04-14 13:05:00Z,Selhurst Park,Crystal Palace,Man City,,1,3
336,34,2019-04-14 15:30:00Z,Anfield,Liverpool,Chelsea,,2,0
340,34,2019-04-15 19:00:00Z,Vicarage Road,Watford,Arsenal,,0,1
302,34,2019-04-16 18:45:00Z,Amex Stadium,Brighton,Cardiff,,0,2
347,35,2019-04-20 11:30:00Z,Etihad Stadium,Man City,Spurs,,1,0
342,35,2019-04-20 14:00:00Z,Vitality Stadium,Bournemouth,Fulham,,0,1
346,35,2019-04-20 14:00:00Z,John Smith's Stadium,Huddersfield,Watford,,1,2
349,35,2019-04-20 14:00:00Z,London Stadium,West Ham,Leicester,,2,2
350,35,2019-04-20 14:00:00Z,Molineux Stadium,Wolves,Brighton,,0,0
348,35,2019-04-20 16:30:00Z,St. James' Park,Newcastle,Southampton,,3,1
345,35,2019-04-21 12:30:00Z,Goodison Park,Everton,Man Utd,,4,0
341,35,2019-04-21 15:00:00Z,Emirates Stadium,Arsenal,Crystal Palace,,2,3
343,35,2019-04-21 15:00:00Z,Cardiff City Stadium,Cardiff,Liverpool,,0,2
344,35,2019-04-22 19:00:00Z,Stamford Bridge,Chelsea,Burnley,,2,2
308,35,2019-04-23 18:45:00Z,Vicarage Road,Watford,Southampton,,1,1
328,35,2019-04-23 18:45:00Z,Tottenham Hotspur Stadium,Spurs,Brighton,,1,0
310,35,2019-04-24 18:45:00Z,Molineux Stadium,Wolves,Arsenal,,3,1
306,35,2019-04-24 19:00:00Z,Old Trafford,Man Utd,Man City,,0,2
356,36,2019-04-26 19:00:00Z,Anfield,Liverpool,Huddersfield,,5,0
359,36,2019-04-27 11:30:00Z,Tottenham Hotspur Stadium,Spurs,West Ham,,0,1
353,36,2019-04-27 14:00:00Z,Selhurst Park,Crystal Palace,Everton,,0,0
354,36,2019-04-27 14:00:00Z,Craven Cottage,Fulham,Cardiff,,1,0
358,36,2019-04-27 14:00:00Z,St. Mary's Stadium,Southampton,Bournemouth,,3,3
360,36,2019-04-27 14:00:00Z,Vicarage Road,Watford,Wolves,,1,2
351,36,2019-04-27 16:30:00Z,Amex Stadium,Brighton,Newcastle,,1,1
355,36,2019-04-28 11:00:00Z,King Power Stadium,Leicester,Arsenal,,3,0
352,36,2019-04-28 13:05:00Z,Turf Moor,Burnley,Man City,,0,1
357,36,2019-04-28 15:30:00Z,Old Trafford,Man Utd,Chelsea,,1,1
365,37,2019-05-03 19:00:00Z,Goodison Park,Everton,Burnley,,2,0
362,37,2019-05-04 11:30:00Z,Vitality Stadium,Bournemouth,Spurs,,1,0
369,37,2019-05-04 14:00:00Z,London Stadium,West Ham,Southampton,,3,0
370,37,2019-05-04 14:00:00Z,Molineux Stadium,Wolves,Fulham,,1,0
363,37,2019-05-04 16:30:00Z,Cardiff City Stadium,Cardiff,Crystal Palace,,2,3
368,37,2019-05-04 18:45:00Z,St. James' Park,Newcastle,Liverpool,,2,3
364,37,2019-05-05 13:00:00Z,Stamford Bridge,Chelsea,Watford,,3,0
366,37,2019-05-05 13:00:00Z,John Smith's Stadium,Huddersfield,Man Utd,,1,1
361,37,2019-05-05 15:30:00Z,Emirates Stadium,Arsenal,Brighton,,1,1
367,37,2019-05-06 19:00:00Z,Etihad Stadium,Man City,Leicester,,1,0
371,38,2019-05-12 14:00:00Z,Amex Stadium,Brighton,Man City,,1,4
372,38,2019-05-12 14:00:00Z,Turf Moor,Burnley,Arsenal,,1,3
373,38,2019-05-12 14:00:00Z,Selhurst Park,Crystal Palace,Bournemouth,,5,3
374,38,2019-05-12 14:00:00Z,Craven Cottage,Fulham,Newcastle,,0,4
375,38,2019-05-12 14:00:00Z,King Power Stadium,Leicester,Chelsea,,0,0
376,38,2019-05-12 14:00:00Z,Anfield,Liverpool,Wolves,,2,0
377,38,2019-05-12 14:00:00Z,Old Trafford,Man Utd,Cardiff,,0,2
378,38,2019-05-12 14:00:00Z,St. Mary's Stadium,Southampton,Huddersfield,,1,1
379,38,2019-05-12 14:00:00Z,Tottenham Hotspur Stadium,Spurs,Everton,,2,2
380,38,2019-05-12 14:00:00Z,Vicarage Road,Watford,West Ham,,1,4
