matchNumber,roundNumber,dateUtc,location,homeTeam,awayTeam,group,homeTeamScore,awayTeamScore
321,33,2018-04-08 13:15:00Z,Emirates Stadium,Arsenal,Southampton,,3,2
324,33,2018-04-08 15:30:00Z,Stamford Bridge,Chelsea,West Ham,,1,1
337,34,2018-04-14 11:30:00Z,St. Mary's Stadium,Southampton,Chelsea,,2,3
331,34,2018-04-14 14:00:00Z,Turf Moor,Burnley,Leicester,,2,1
332,34,2018-04-14 14:00:00Z,Selhurst Park,Crystal Palace,Brighton,,3,2
333,34,2018-04-14 14:00:00Z,John Smith's Stadium,Huddersfield,Watford,,1,0
338,34,2018-04-14 14:00:00Z,Liberty Stadium,Swansea,Everton,,1,1
334,34,2018-04-14 16:30:00Z,Anfield,Liverpool,Bournemouth,,3,0
339,34,2018-04-14 18:45:00Z,Wembley Stadium,Spurs,Man City,,1,3
336,34,2018-04-15 12:30:00Z,St. James' Park,Newcastle,Arsenal,,2,1
335,34,2018-04-15 15:00:00Z,Old Trafford,Man Utd,West Brom,,0,1
340,34,2018-04-16 19:00:00Z,London Stadium,West Ham,Stoke,,1,1
343,35,2018-04-17 18:45:00Z,Amex Stadium,Brighton,Spurs,,1,1
342,35,2018-04-18 18:45:00Z,Vitality Stadium,Bournemouth,Man Utd,,0,2
302,35,2018-04-19 18:45:00Z,Turf Moor,Burnley,Chelsea,,1,2
346,35,2018-04-19 18:45:00Z,King Power Stadium,Leicester,Southampton,,0,0
350,35,2018-04-21 11:30:00Z,The Hawthorns,West Brom,Liverpool,,2,2
349,35,2018-04-21 14:00:00Z,Vicarage Road,Watford,Crystal Palace,,0,0
341,35,2018-04-22 12:30:00Z,Emirates Stadium,Arsenal,West Ham,,4,1
348,35,2018-04-22 12:30:00Z,bet365 Stadium,Stoke,Burnley,,1,1
347,35,2018-04-22 15:30:00Z,Etihad Stadium,Man City,Swansea,,5,0
345,35,2018-04-23 19:00:00Z,Goodison Park,Everton,Newcastle,,1,0
354,36,2018-04-28 11:30:00Z,Anfield,Liverpool,Stoke,,0,0
351,36,2018-04-28 14:00:00Z,Turf Moor,Burnley,Brighton,,0,0
352,36,2018-04-28 14:00:00Z,Selhurst Park,Crystal Palace,Leicester,,5,0
353,36,2018-04-28 14:00:00Z,John Smith's Stadium,Huddersfield,Everton,,0,2
356,36,2018-04-28 14:00:00Z,St. James' Park,Newcastle,West Brom,,0,1
357,36,2018-04-28 14:00:00Z,St. Mary's Stadium,Southampton,Bournemouth,,2,1
358,36,2018-04-28 16:30:00Z,Liberty Stadium,Swansea,Chelsea,,0,1
360,36,2018-04-29 11:15:00Z,London Stadium,West Ham,Man City,,1,4
355,36,2018-04-29 15:30:00Z,Old Trafford,Man Utd,Arsenal,,2,1
359,36,2018-04-30 19:00:00Z,Wembley Stadium,Spurs,Watford,,2,0
363,37,2018-05-04 19:00:00Z,Amex Stadium,Brighton,Man Utd,,1,0
368,37,2018-05-05 11:30:00Z,bet365 Stadium,Stoke,Crystal Palace,,1,2
362,37,2018-05-05 14:00:00Z,Vitality Stadium,Bournemouth,Swansea,,1,0
366,37,2018-05-05 14:00:00Z,King Power Stadium,Leicester,West Ham,,0,2
369,37,2018-05-05 14:00:00Z,Vicarage Road,Watford,Newcastle,,2,1
370,37,2018-05-05 14:00:00Z,The Hawthorns,West Brom,Spurs,,1,0
365,37,2018-05-05 16:30:00Z,Goodison Park,Everton,Southampton,,1,1
367,37,2018-05-06 12:30:00Z,Etihad Stadium,Man City,Huddersfield,,0,0
361,37,2018-05-06 15:30:00Z,Emirates Stadium,Arsenal,Burnley,,5,0
364,37,2018-05-06 15:30:00Z,Stamford Bridge,Chelsea,Liverpool,,1,0
308,37,2018-05-08 18:45:00Z,Liberty Stadium,Swansea,Southampton,,0,1
304,37,2018-05-09 18:45:00Z,King Power Stadium,Leicester,Arsenal,,3,1
344,37,2018-05-09 18:45:00Z,Stamford Bridge,Chelsea,Huddersfield,,1,1
306,37,2018-05-09 19:00:00Z,Etihad Stadium,Man City,Brighton,,3,1
309,37,2018-05-09 19:00:00Z,Wembley Stadium,Spurs,Newcastle,,1,0
310,37,2018-05-10 18:45:00Z,London Stadium,West Ham,Man Utd,,0,0
371,38,2018-05-13 14:00:00Z,Turf Moor,Burnley,Bournemouth,,1,2
372,38,2018-05-13 14:00:00Z,Selhurst Park,Crystal Palace,West Brom,,2,0
373,38,2018-05-13 14:00:00Z,John Smith's Stadium,Huddersfield,Arsenal,,0,1
374,38,2018-05-13 14:00:00Z,Anfield,Liverpool,Brighton,,4,0
375,38,2018-05-13 14:00:00Z,Old Trafford,Man Utd,Watford,,1,0
376,38,2018-05-13 14:00:00Z,St. James' Park,Newcastle,Chelsea,,3,0
377,38,2018-05-13 14:00:00Z,St. Mary's Stadium,Southampton,Man City,,0,1
378,38,2018-05-13 14:00:00Z,Liberty Stadium,Swansea,Stoke,,1,2
379,38,2018-05-13 14:00:00Z,Wembley Stadium,Spurs,Leicester,,5,4
380,38,2018-05-13 14:00:00Z,London Stadium,West Ham,Everton,,3,1
